Variable_Name,Correlation_Value,VIF_Value,Corr_Abs,MI_Score,ElasticNet_AbsCoef,XGB_SHAP_MeanAbs,Composite_Score
Indep_V94,0.780,5.846,0.780,0.833,5.755,9.560,1.000
Indep_V1,0.611,7.738,0.611,0.612,4.732,3.322,0.655
Indep_V108,0.386,4.693,0.386,0.268,4.740,0.584,0.429
Indep_V57,-0.438,4.911,0.438,0.563,1.982,0.231,0.358
Indep_V35,-0.506,9.360,0.506,0.373,2.235,0.531,0.353
Indep_V2,0.513,3.420,0.513,0.444,0.626,2.190,0.340
Indep_V40,-0.401,5.235,0.401,0.168,2.886,0.279,0.302
Indep_V101,0.519,4.914,0.519,0.217,1.995,0.357,0.300
Indep_V119,0.568,6.445,0.568,0.365,0.469,0.623,0.277
Indep_V96,-0.314,7.159,0.314,0.357,1.620,0.835,0.277
Indep_V99,0.378,4.252,0.378,0.357,1.371,0.190,0.260
Indep_V39,-0.361,6.271,0.361,0.322,1.578,0.159,0.257
Indep_V26,-0.225,3.424,0.225,0.216,2.313,0.789,0.255
