variable,hist_mean,hist_std,hist_min,hist_max,future_mean,future_std,future_min,future_max,rel_jump_first_future_vs_last_hist,n_future_points,n_future_out_of_hist_range,flag_out_of_range,flag_large_jump,flag_flat,risk_score
Indep_V1,2.6528338692296596,1.1687528683232358,0.61225,4.787,4.622529451702891,0.1299461819876253,4.36014827556505,4.82373445095352,-0.004591642963530566,12,0,False,False,False,0.0
Indep_V2,2930.347688094022,647.2141077078256,1653.0,5746.0,3230.054871613706,25.145811313828315,3196.6324672811493,3280.457899277798,0.011915552433184642,12,0,False,False,True,20.0
Indep_V26,84.3014305095904,5.522100053366169,67.88,96.23333333333333,71.15525021423547,1.414875954665891,68.33884089051287,72.97250502187096,0.0067595888407907265,12,0,False,False,False,0.0
Indep_V35,584.1340029417695,968.232441340951,0.0,3456.0,322.6672726169108,182.51158011165163,199.59311847384132,778.7580079859559,-0.2455467068486825,12,0,False,False,False,0.0
Indep_V39,215.826975760056,184.82391146078845,3.75,834.0,202.5675689756488,6.2277285460304155,193.07796726497355,210.89150008339845,0.0011367378722378673,12,0,False,False,True,20.0
Indep_V40,27988.39185334448,3581.138408595528,21029.2,36772.0,27931.087237670377,766.0277857644037,26797.749964332885,29149.56574208576,-0.0307083014536972,12,0,False,False,False,0.0
Indep_V57,2.7119361855449986,2.7223313641031472,0.0,11.75,3.4572010865149934,0.1931157788002949,3.1666493456415,3.7529254558933847,0.08943711246242633,12,0,False,False,False,0.0
Indep_V94,1732.8206343465506,603.7884370365759,640.047619047619,3750.951904761904,1344.433558509574,23.49515511453065,1311.9292285660877,1385.7773158433654,0.05753989480260922,12,0,False,False,True,20.0
Indep_V96,1.1179326597640742,0.05233057896768668,0.984971429,1.23448,1.1665704359856688,0.002777411041293099,1.1596942373565904,1.170066306320268,-0.0010139961195423375,12,0,False,False,False,0.0
Indep_V99,113.22108093420538,7.908274823319874,87.79762857,129.04125714285715,121.47796198729482,2.06880209259755,118.08130813185292,124.32524160171614,0.002440451343705981,12,0,False,False,False,0.0
Indep_V101,1362.120482758621,172.10817038703837,938.0,1805.0,1402.5197021043666,13.810655848568546,1370.6250150935534,1415.5282467394754,-0.0017210528471090986,12,0,False,False,False,0.0
Indep_V108,102.40732551056817,6.05548397105011,58.3,110.8,98.14347973281669,0.43909905109551833,97.07861100280105,98.55967117853248,0.0005140409344974739,12,0,False,False,False,0.0
Indep_V119,5560.870689655172,390.0072397686205,4323.0,6373.0,6321.999294990169,165.49379557018162,5908.14256158226,6505.0534276217995,-0.030527208424298857,12,0,False,False,False,0.0
