Date,Indep_V1,Indep_V2,Indep_V26,Indep_V35,Indep_V39,Indep_V40,Indep_V57,Indep_V94,Indep_V96,Indep_V99,Indep_V101,Indep_V108,Indep_V119
2025-09-01,4.36014827556505,3216.2798712294557,68.33884089051287,210.49246878921758,201.42871165989425,27806.45867287721,3.5951424711260067,1349.0030069387315,1.1658984017469938,120.82070285054229,1370.6250150935534,98.55967117853248,6178.450100711943
2025-10-01,4.588436789671236,3264.5620572075713,68.88623154695026,199.59311847384132,196.4854079685375,28128.764632897437,3.526924525627819,1385.7773158433654,1.1643969440521347,121.21887596776247,1377.778290552761,98.49884936649028,6363.635219723961
2025-11-01,4.679019144897514,3280.457899277798,69.85724495861936,200.03006971064045,198.13301112427473,29149.56574208576,3.6100663320112694,1373.181406454169,1.1596942373565904,118.43244434670348,1398.5078490580609,98.48788674384483,6168.966395781654
2025-12-01,4.628822433280598,3260.0393047054226,70.47857226977406,255.36321673449592,195.92508773143294,28965.43311354016,3.7529254558933847,1344.6084621185155,1.1636572125582774,120.20684311190176,1412.6074864960044,98.45119053666306,6365.953342360443
2026-01-01,4.82373445095352,3246.363539663722,71.2117039707233,778.7580079859559,193.07796726497355,28503.71862466973,3.643762019104364,1357.9426462717142,1.1689862566582636,118.08130813185292,1414.3859079026458,98.36555134416692,6405.360695526599
2026-02-01,4.766585250021263,3217.2869801693787,71.5676231522732,662.9726032204699,208.88131402899873,28754.797634934337,3.581970883459856,1357.4757268972032,1.1665458623099765,120.08993315636067,1408.6368310393655,98.28526731653554,5908.14256158226
2026-03-01,4.681182417800957,3212.6072018011714,71.79719919160615,326.7095376844759,210.89150008339845,28155.464728537423,3.1914632314163724,1365.3274255195165,1.1666298373023285,123.65389194842771,1410.5932233850403,97.46125021973252,6433.352630381109
2026-04-01,4.6697337773663605,3196.6324672811493,71.70425861301928,241.68471747545956,210.29300062213014,27493.988013293478,3.2102072457999147,1334.4477690343397,1.167908653157153,124.25769659368659,1400.3976994904176,97.07861100280105,6241.101088844061
2026-05-01,4.695693081300677,3210.4530376322764,71.89196593448929,240.6688568190337,208.09684128274318,27237.105829931475,3.1666493456415,1317.751778585314,1.1675118216980058,121.45358612970043,1401.2961267662686,97.85685231476009,6453.57062141996
2026-06-01,4.643672956697949,3213.983824898174,72.48791735819749,240.22567430362648,208.0987084241962,27047.062835465746,3.2677636230055027,1311.9292285660877,1.168011262534296,123.90697957447537,1407.4104786417222,98.09920101128571,6337.470791309086
2026-07-01,4.5303109642989,3213.559329103913,72.97250502187096,263.9546825191145,196.04802846719176,27132.937059478812,3.398366008685648,1317.8173225103094,1.1695384361337362,121.28804043440792,1415.5282467394754,98.2349195708953,6505.0534276217995
2026-08-01,4.403013878580664,3228.432946394446,72.6689396627894,251.55431768659867,203.45124905001404,26797.749964332885,3.541171896408277,1317.9406133756224,1.170066306320268,124.32524160171614,1412.4692700870805,98.3425061880925,6502.934664619157
