Indep_Var,MAPE_ETS,MAPE_ARIMA,MAPE_THETA,Weight_ETS,Weight_ARIMA,Weight_THETA,Count_ETS,Count_ARIMA,Count_THETA
Indep_V94,0.258,0.223,0.259,0.318,0.366,0.316,24,24,24
Indep_V1,0.073,0.208,0.074,0.428,0.150,0.422,24,24,24
Indep_V108,0.012,0.015,0.014,0.369,0.295,0.336,24,24,24
Indep_V57,0.968,0.845,0.990,0.320,0.367,0.313,21,21,21
Indep_V35,3.437,0.938,1.378,0.140,0.512,0.348,11,11,11
Indep_V2,0.161,0.141,0.165,0.321,0.367,0.313,24,24,24
Indep_V40,0.183,0.083,0.142,0.223,0.490,0.287,24,24,24
Indep_V101,0.068,0.099,0.066,0.370,0.252,0.378,24,24,24
Indep_V119,0.011,0.014,0.010,0.349,0.267,0.384,24,24,24
Indep_V96,0.029,0.032,0.028,0.341,0.311,0.349,24,24,24
Indep_V99,0.031,0.028,0.035,0.334,0.368,0.298,24,24,24
Indep_V39,1.897,1.456,1.386,0.272,0.355,0.373,24,24,24
Indep_V26,0.073,0.087,0.086,0.374,0.311,0.315,24,24,24
